"Longitude","Latitude",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
67.709953,33.93911,0.228187363,0.197712615,0.103278005,0.090615852,0.080079985,0.072146977,0.065114798,0.058606527,0.054167558,0.041647373,0.03792461,0.030232274,0.016185612,0.025222764,0.030534565,0.040857766,0.052219589,0.075568812,0.145284418,0.235439186,0.290025232,,,,
20.168331,41.153332,2.278386827,1.215676857,0.73519813,0.726062789,0.601346953,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.051950468,1.229372684,1.415471218,1.38185531,1.421353924,1.302217499,1.379077691,1.417668106,1.345103479,1.499316163,,,,
1.659626,28.033886,3.006721912,3.028919415,2.98751988,2.929035648,3.00320905,3.230136294,3.235587368,2.906365551,3.474320431,2.945320314,2.772147555,2.621860338,2.789232068,2.803740228,2.674522946,3.154443155,3.012793702,3.200797999,3.20834736,3.424272074,3.331511849,,,,
1.601554,42.546245,,,,,,6.374494942,6.618103743,7.152051802,7.58701547,8.011048,8.018180706,7.711485294,7.422144363,7.077746784,7.142904123,7.088127747,6.673217143,6.631021503,6.740724531,6.573271971,6.636720705,,,,
17.873887,-11.202692,0.428662945,0.409979248,0.401602489,0.510122619,0.331307492,0.909710423,0.842542029,0.577081314,0.556293635,0.677726241,0.685212349,0.676539905,0.850821552,0.587820499,1.176297818,1.157880358,1.300402531,1.419985486,1.452228381,1.470740834,1.555965628,,,,
-61.796428,17.060816,4.85726747,4.700378132,4.624649242,4.748535487,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.257378817,5.370596023,5.778818076,5.88515814,,,,
-61.796428,17.060816,3.206697558,3.291743509,3.496178304,3.731949822,3.755048122,3.498037344,3.393499824,3.202293191,3.399303754,3.384373561,3.774681268,3.623860425,3.608985337,3.852520479,4.144934447,4.261587401,4.348215763,4.225367574,4.442937209,4.480770803,4.60440518,,,,
-63.616672,-38.416097,3.451770266,3.538038326,3.62304486,3.492412111,3.585840171,3.518125971,3.664289062,3.773465207,3.812693347,3.984389596,3.822902416,3.55835158,3.275956616,3.506066026,4.076616381,4.164577003,4.468897615,4.587088109,4.790214372,4.488322189,4.47096499,,,,
45.038189,40.069099,,,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.157636701,0.998886775,1.129317807,1.204698359,1.446163526,1.459272353,1.694981274,1.865836235,1.466476807,1.424235767,,,,
-69.968338,12.52111,29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.77412104,21.67232319,19.11734039,18.91098153,24.57904642,24.0798114,23.74024949,23.24594135,22.87650645,22.72835421,22.54824953,23.29484583,22.5786233,22.63446331,22.84723958,,,,
133.775136,-25.274398,16.83737288,16.28848982,16.83089071,17.10062806,17.02367012,17.0116172,17.98153733,18.01715505,18.54058404,17.19979166,17.20903399,16.73412301,17.35253794,17.4149047,17.32749232,17.78319155,17.93486668,18.11227847,18.24232926,18.21404413,16.93373124,,,,
14.550072,47.516231,7.909182909,8.45951671,7.721517276,7.625172203,7.699384132,7.766497095,7.918657417,8.019680371,8.219593122,7.982467427,7.950479344,8.171339567,8.312273871,8.904462555,8.794195424,9.022843693,8.655010176,8.329484502,8.18869437,7.442910484,7.973648029,,,,
47.576927,40.143105,,,7.813859388,6.586411474,5.617069764,4.356500976,4.05953858,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,4.82748523,5.215078737,4.764470463,5.050748857,,,,
