"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Bahamas, The","-77.39628,25.03428",-77.39628,25.03428,"BHS","Forest area (% of land area)","AG.LND.FRST.ZS",51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,,
"Bahrain","50.637772,25.930414",50.637772,25.930414,"BHR","Forest area (% of land area)","AG.LND.FRST.ZS",0.289855072,0.289855072,0.422535211,0.422535211,0.422535211,0.422535211,0.422535211,0.422535211,0.422535211,0.563380282,0.563380282,0.563380282,0.563380282,0.555555556,0.547945205,0.675675676,0.621621622,0.64,0.644736842,0.671052632,0.697368421,0.710526316,0.736842105,,
"Bangladesh","90.356331,23.684994",90.356331,23.684994,"BGD","Forest area (% of land area)","AG.LND.FRST.ZS",11.47729892,11.45732504,11.43735116,11.41737728,11.3974034,11.37742952,11.35745563,11.33748175,11.31750787,11.29753399,11.27756011,11.25758623,11.23761235,11.21763847,11.19766459,11.17769071,11.15771683,11.13774295,11.11776907,11.09779519,11.07782131,11.05784743,11.03787355,,
"Barbados","-59.543198,13.193887",-59.543198,13.193887,"BRB","Forest area (% of land area)","AG.LND.FRST.ZS",19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,19.44186047,,
"Belarus","27.953389,53.709807",27.953389,53.709807,"BLR","Forest area (% of land area)","AG.LND.FRST.ZS",38.35535397,,38.84145139,39.0845001,39.32754881,39.57059752,39.81364622,40.05669493,40.29974364,40.54279235,40.78584106,40.94655886,41.10930336,41.27002909,41.43484049,41.59148055,41.7683588,41.959586,42.15081321,42.35874174,42.53326762,42.72238924,42.91360702,,
"Belgium","4.469936,50.503887",4.469936,50.503887,"BEL","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,22.03764861,22.07265522,22.10766182,22.14266843,22.17767503,22.21268164,22.24702774,22.28137384,22.31571995,22.35006605,22.38441215,22.41875826,22.45310436,,
"Belize","-88.49765,17.189877",-88.49765,17.189877,"BLZ","Forest area (% of land area)","AG.LND.FRST.ZS",69.5309075,69.10565541,68.68040333,68.25515125,67.82989917,67.40464708,66.979395,66.55414292,66.12889084,65.70363875,65.27838667,64.85751863,64.43665059,64.01578255,63.59491451,63.17404647,62.75317843,62.33231039,61.91144235,61.49057431,61.06970627,60.64883823,60.22797019,,
"Benin","2.315834,9.30769",2.315834,9.30769,"BEN","Forest area (% of land area)","AG.LND.FRST.ZS",51.09081234,50.47002483,49.84923732,49.2284498,48.60766229,47.98687478,47.36608726,46.74529975,46.12451224,45.50372473,44.88293721,44.43951756,43.99609791,43.55267825,43.1092586,42.66583895,42.2224193,41.77899965,41.33557999,40.89216034,40.44874069,40.00532104,39.56190138,,
"Bermuda","-64.75737,32.321384",-64.75737,32.321384,"BMU","Forest area (% of land area)","AG.LND.FRST.ZS",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
"Bhutan","90.433601,27.514162",90.433601,27.514162,"BTN","Forest area (% of land area)","AG.LND.FRST.ZS",64.95730154,65.18417054,65.41103953,65.63790852,77.32160804,77.5879397,77.85427136,78.12060302,78.38693467,78.65326633,78.91959799,79.19095477,78.9130923,79.18257355,82.93483357,83.21612752,83.49742147,83.77871542,84.06000938,84.34130333,84.62259728,84.90389123,85.80423433,,
"Bolivia","-63.588653,-16.290154",-63.588653,-16.290154,"BOL","Forest area (% of land area)","AG.LND.FRST.ZS",57.96639897,57.71679129,57.46718361,57.21757593,56.96796825,56.71836056,56.46875288,56.2191452,55.96953752,55.71992984,55.47032216,55.21979138,54.96926059,54.71872981,54.46819902,54.21766824,53.93372104,53.64977384,53.36582664,53.08187944,52.79793224,52.51398505,52.23003785,,
"Bosnia and Herzegovina","17.679076,43.915886",17.679076,43.915886,"BIH","Forest area (% of land area)","AG.LND.FRST.ZS",43.33333333,,43.23529412,43.18627451,43.1372549,43.08823529,43.03921569,42.99019608,42.94117647,42.89215686,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,42.84313725,,
"Botswana","24.684866,-22.328474",24.684866,-22.328474,"BWA","Forest area (% of land area)","AG.LND.FRST.ZS",24.20552997,23.99678859,23.78804722,23.57930584,23.37056447,23.16182309,22.95308171,22.74434034,22.53559896,22.32685759,22.11811621,21.90919838,21.70028056,21.49136273,21.2824449,21.07352708,20.86460925,20.65569142,20.4467736,20.23785577,20.02893794,19.82002012,19.61110229,,
"Brazil","-51.92528,-14.235004",-51.92528,-14.235004,"BRA","Forest area (% of land area)","AG.LND.FRST.ZS",68.77594776,68.43022491,68.08450205,67.7387792,67.39305635,67.0473335,66.70161065,66.35588779,66.01016494,65.66444209,65.31871924,64.94904369,63.80619475,63.44094512,63.0756955,62.71044587,62.45104274,62.19163962,61.93223649,61.67283336,61.41343024,61.15402711,61.63251633,,
"Brunei Darussalam","114.727669,4.535277",114.727669,4.535277,"BRN","Forest area (% of land area)","AG.LND.FRST.ZS",78.36812144,78.06451613,77.76091082,77.4573055,77.15370019,76.85009488,76.54648956,76.24288425,75.93927894,75.63567362,75.33206831,75.028463,74.72485769,74.42125237,74.11764706,73.81404175,73.47248577,73.13092979,72.78937381,72.44781784,72.10626186,71.76470588,71.42314991,,
"Bulgaria","25.48583,42.733883",25.48583,42.733883,"BGR","Forest area (% of land area)","AG.LND.FRST.ZS",30.07321703,30.1166049,30.15999277,30.20338064,30.24676851,30.29015638,30.33354425,30.37693212,30.42031999,30.46370786,30.50709572,31.00605622,32.03492647,32.55125494,33.06178742,33.60640648,34.11764706,34.63217015,35.14041064,35.66507001,36.17354458,36.68201916,37.19049374,,
"Burkina Faso","-1.561593,12.238333",-1.561593,12.238333,"BFA","Forest area (% of land area)","AG.LND.FRST.ZS",25.0255848,24.80665205,24.5877193,24.36878655,24.1498538,23.93092105,23.7119883,23.49305556,23.27412281,23.05519006,22.83625731,22.61769006,22.39912281,22.18055556,21.9619883,21.74342105,21.52412281,21.30482456,21.08552632,20.86622807,20.64692982,20.42763158,20.20833333,,
"Burundi","29.918886,-3.373056",29.918886,-3.373056,"BDI","Forest area (% of land area)","AG.LND.FRST.ZS",11.25389408,10.89953271,10.54517134,10.19080997,9.836448598,9.482087227,9.127725857,8.773364486,8.419003115,8.064641745,7.710280374,7.57788162,7.445482866,7.313084112,7.180685358,7.048286604,6.978193146,6.908099688,6.838006231,6.767912773,6.697819315,6.627725857,6.557632399,,
"Cabo Verde","29.918886,-3.373056",29.918886,-3.373056,"CPV","Forest area (% of land area)","AG.LND.FRST.ZS",14.34243176,14.93796526,15.53349876,16.15384615,16.74937965,17.34491315,17.96526055,18.56079404,19.15632754,19.77667494,20.37220844,20.44665012,20.52109181,20.5955335,20.66997519,20.74441687,20.81885856,20.89330025,20.95533499,21.03970223,21.03970223,21.03970223,21.2630273,,
"Cambodia","104.990963,12.565679",104.990963,12.565679,"KHM","Forest area (% of land area)","AG.LND.FRST.ZS",73.32880127,72.53682302,71.74484478,70.95286653,70.16088828,69.36891004,68.57693179,67.78495355,66.9929753,66.20099705,65.40901881,64.4856107,63.56220258,62.63879447,61.71538636,60.79197825,60.070247,59.34851575,58.6267845,57.90505325,57.183322,56.46159075,55.73985951,,
"Cameroon","12.354722,7.369722",12.354722,7.369722,"CMR","Forest area (% of land area)","AG.LND.FRST.ZS",51.43957183,50.97417021,50.50876859,50.04336697,49.57796535,49.11256373,48.64716211,48.18176049,47.71635887,47.25095725,46.78555563,46.32015401,45.85475239,45.38935076,44.92394914,44.45854752,43.9931459,43.52774428,43.06234266,42.59694104,42.13153942,41.6661378,41.20073618,,
"Canada","-106.346771,56.130366",-106.346771,56.130366,"CAN","Forest area (% of land area)","AG.LND.FRST.ZS",34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,34.10498256,,
"Caribbean small states","-24.013197,16.002082",-24.013197,16.002082,"CSS","Forest area (% of land area)","AG.LND.FRST.ZS",81.09929604,81.07274299,81.04643695,81.01988391,80.99333086,80.96702482,80.94047178,80.91391874,80.8876127,80.86105965,80.83450661,80.80787946,80.78100531,80.75413116,80.72750401,80.70062986,80.66466593,80.62894899,80.59298506,80.55709522,80.52120538,80.48531555,80.44937631,,
"Cayman Islands","-80.566956,19.513469",-80.566956,19.513469,"CYM","Forest area (% of land area)","AG.LND.FRST.ZS",51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,52.91666667,52.91666667,52.91666667,52.91666667,52.91666667,,
