"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Arab World","-61.796428,17.060816",-61.796428,17.060816,"ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",3.206697558,3.291743509,3.496178304,3.731949822,3.755048122,3.498037344,3.393499824,3.202293191,3.399303754,3.384373561,3.774681268,3.623860425,3.608985337,3.852520479,4.144934447,4.261587401,4.348215763,4.225367574,4.442937209,4.480770803,4.60440518,,,,
"Argentina","-63.616672,-38.416097",-63.616672,-38.416097,"ARG","Forest area (% of land area)","AG.LND.FRST.ZS",12.7135335,12.60639678,12.49926006,12.39212333,12.28498661,12.17784988,12.07071316,11.96357644,11.85643971,11.74930299,11.64216627,11.54993806,11.45770986,11.36548166,11.27325346,11.18102525,11.09340115,11.00577705,10.91815295,10.83052885,10.74290475,10.65528065,10.56765655,,
"Argentina","-63.616672,-38.416097",-63.616672,-38.416097,"ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",3.451770266,3.538038326,3.62304486,3.492412111,3.585840171,3.518125971,3.664289062,3.773465207,3.812693347,3.984389596,3.822902416,3.55835158,3.275956616,3.506066026,4.076616381,4.164577003,4.468897615,4.587088109,4.790214372,4.488322189,4.47096499,,,,
"Armenia","45.038189,40.069099",45.038189,40.069099,"ARM","Forest area (% of land area)","AG.LND.FRST.ZS",12.18398876,,11.886196,11.73515982,11.58412364,11.43308746,11.28205128,11.1310151,10.97997893,10.82894275,10.67790657,10.53038286,10.37921348,10.23174157,10.08426966,9.936797753,9.789325843,9.641853933,9.494382022,9.346910112,9.199438202,9.051966292,8.907622058,,
"Armenia","45.038189,40.069099",45.038189,40.069099,"ARM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.157636701,0.998886775,1.129317807,1.204698359,1.446163526,1.459272353,1.694981274,1.865836235,1.466476807,1.424235767,,,,
"Aruba","-69.968338,12.52111",-69.968338,12.52111,"ABW","Forest area (% of land area)","AG.LND.FRST.ZS",2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.333333333,2.333333333,2.333333333,,
"Aruba","-69.968338,12.52111",-69.968338,12.52111,"ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.77412104,21.67232319,19.11734039,18.91098153,24.57904642,24.0798114,23.74024949,23.24594135,22.87650645,22.72835421,22.54824953,23.29484583,22.5786233,22.63446331,22.84723958,,,,
"Australia","133.775136,-25.274398",133.775136,-25.274398,"AUS","Forest area (% of land area)","AG.LND.FRST.ZS",20.11116463,20.11663174,20.12209885,20.12756596,20.13303308,20.13850019,20.1439673,20.14943441,20.15490153,20.16036864,20.16583575,20.13980188,20.11376801,20.08773414,20.06170027,20.0356664,19.91538992,19.79511344,19.67483696,19.55456048,19.434284,19.31400752,19.19373104,,
"Australia","133.775136,-25.274398",133.775136,-25.274398,"AUS","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",16.83737288,16.28848982,16.83089071,17.10062806,17.02367012,17.0116172,17.98153733,18.01715505,18.54058404,17.19979166,17.20903399,16.73412301,17.35253794,17.4149047,17.32749232,17.78319155,17.93486668,18.11227847,18.24232926,18.21404413,16.93373124,,,,
"Austria","14.550072,47.516231",14.550072,47.516231,"AUT","Forest area (% of land area)","AG.LND.FRST.ZS",45.797453,45.87265009,45.94784718,46.02304427,46.09824136,46.17343845,46.24863554,46.32383263,46.39902971,46.4742268,46.54942389,46.60764099,46.6658581,46.7240752,46.7822923,46.8405094,46.90115221,46.96179503,47.02243784,47.10650536,47.16717834,47.22785133,47.28852431,,
"Austria","14.550072,47.516231",14.550072,47.516231,"AUT","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",7.909182909,8.45951671,7.721517276,7.625172203,7.699384132,7.766497095,7.918657417,8.019680371,8.219593122,7.982467427,7.950479344,8.171339567,8.312273871,8.904462555,8.794195424,9.022843693,8.655010176,8.329484502,8.18869437,7.442910484,7.973648029,,,,
"Azerbaijan","47.576927,40.143105",47.576927,40.143105,"AZE","Forest area (% of land area)","AG.LND.FRST.ZS",11.248648,,11.24770179,11.24770179,11.24770179,11.24770179,11.24770179,11.24770179,11.26462235,11.31733269,11.33103323,11.3311704,11.32925028,11.32458985,11.3218502,11.32349383,11.32664545,11.32774208,11.32801627,11.3287018,11.32404181,11.32376781,11.32376781,,
"Azerbaijan","47.576927,40.143105",47.576927,40.143105,"AZE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,7.813859388,6.586411474,5.617069764,4.356500976,4.05953858,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,4.82748523,5.215078737,4.764470463,5.050748857,,,,
"Bahamas, The","-77.39628,25.03428",-77.39628,25.03428,"BHS","Forest area (% of land area)","AG.LND.FRST.ZS",51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,,
"Bahamas, The","-77.39628,25.03428",-77.39628,25.03428,"BHS","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",7.610436221,6.825539444,6.738756919,6.276121798,6.115655137,6.010187467,5.881615776,4.755613659,5.7928092,5.710903688,5.603474622,5.179703305,5.102301004,4.809957418,5.345812655,4.858311455,4.534282616,4.524129584,3.000215307,4.634282297,6.835610738,,,,
